input_text,target_text,t5,marian,mbart
Instruments Rasmus Bartholin publishes the first article on the splitting of light rays by Icelandic spar.,Instruments Rasmus Bartholin publie le premier article sur la double réfraction de la calcite d'Islande.,Instruments Rasmus Bartholin publie le premier article sur la fractionnement des rayons lumineux par le sars islandais.,Instruments Rasmus Bartholin publie le premier article sur la division des rayons lumineux par spar islandais.,Instruments Rasmus Bartholin publie le premier article sur la séparation des rayons de lumière par l'espar islandais.
"Instruments In France, Laurent Cassegrain invents a new type of reflecting telescope.","Instruments En France, Laurent Cassegrain invente un nouveau type de télescope.","Instruments En France, Laurent Cassegrain invente un nouveau type de télescope réfléchissant.","Instruments En France, Laurent Cassegrain invente un nouveau type de télescope réfléchissant.","Instruments En France, Laurent Cassegrain invente un nouveau type de télescope réfléchissant."
Instruments The modern version of the sextant is independently invented by John Hadley in England and Thomas Godfrey in the United States.,Instruments La version moderne du sextant est inventée indépendamment par le Britannique John Hadley et l'Américain Thomas Godfrey.,Instruments La version moderne du sextant est inventée de façon indépendante par John Hadley en Angleterre et Thomas Godfrey aux États-Unis.,Instruments La version moderne du sextant est inventée indépendamment par John Hadley en Angleterre et Thomas Godfrey aux États-Unis.,Instruments La version moderne du sextant est indépendantement inventée par John Hadley en Angleterre et Thomas Godfrey aux États-Unis.
Observatories Evidence suggests that an astronomical observatory is installed at the College of Quebec.,Observatoires Indices d'installation d'un observatoire astronomique au Collège de Québec.,Observatoires Les données indiquent qu'un observatoire astronomique est installé au Collège du Québec.,Observatoires Les preuves suggèrent qu'un observatoire astronomique est installé au Collège du Québec.,Observatoires Les éléments de preuve suggèrent qu'un observatoire astronomique est installé au Collège du Québec.
Observatories An engraving showing the image of sky observers outdoors with an astronomical instrument at the Fortress of Louisbourg in Nova Scotia.,Observatoires Une gravure montre des observateurs utilisant un instrument astronomique à la forteresse de Louisbourg en Nouvelle-Écosse.,Observatoires Une gravure montrant l'image des observateurs du ciel à l'extérieur avec un instrument astronomique à la forteresse de Louisbourg en Nouvelle-Écosse.,Observatoires Une gravure montrant l'image des observateurs du ciel à l'extérieur avec un instrument astronomique à la forteresse de Louisbourg en Nouvelle-Écosse.,Observatoires Une gravure montrant l'image d'observateurs du ciel à l'extérieur avec un instrument astronomique à la forteresse de Louisbourg en Nouvelle-Écosse.
It is likely that a temporary observatory existed for a short time in the fortress.,Il est probable qu'un observatoire temporaire y ait existé.,Il est probable qu'un observatoire temporaire existait pendant une courte période dans la forteresse.,Il est probable qu'un observatoire temporaire existait pour un peu de temps dans la forteresse.,Il est probable qu'un observatoire temporaire ait existé pendant une courte période dans la forteresse.
"Observatories The first North American observatory that existed with historical certainty is constructed at Castle Frederick, an estate founded by Joseph DesBarres at Falmouth, Nova Scotia","Observatoires Le premier observatoire en Amérique du Nord dont l'existence est certaine: celui de Castle Frederick, établi par Joseph Desbarres à Falmouth en Nouvelle-Écosse.","Observatoires Le premier observatoire nord-américain qui existait avec certitude historique est construit à Castle Frederick, un domaine fondé par Joseph DesBarres à Falmouth (Nouvelle-Écosse).","Observatoires Le premier observatoire nord-américain qui existait avec certitude historique est construit au château Frederick, un domaine fondé par Joseph DesBarres à Falmouth (Nouvelle-Écosse)","Observatoires Le premier observatoire nord-américain existant avec certitude historique est construit à Castle Frederick, une propriété fondée par Joseph DesBarres à Falmouth (Nouvelle-Écosse)."
Evolution of images Charles Messier makes this drawing of the Orion nebula.,ÉvolutionImages Charles Messier réalise ce dessin de la nébuleuse d'Orion.,L'évolution des images Charles Messier fait ce dessin du nébula d'Orion.,Évolution des images Charles Messier fait ce dessin de la nébuleuse d'Orion.,Évolution des images Charles Messier fait ce dessin de la nébula Orion.
Evolution of images The first map of the Moon with longitudes and latitudes.,ÉvolutionImages La première carte lunaire où sont indiquées les longitudes et les latitudes.,Évolution des images La première carte de la Lune avec longitudes et latitudes.,Évolution des images La première carte de la Lune avec longitudes et latitudes.,Évolution des images La première carte de la Lune avec longitudes et latitudes.
"German astronomer Tobias Mayer drew the base map in the 1850's, but the longitudes and latitudes were added in 1775, after his death.","La carte de base fut dessinée dans les années 1850 par l'astronome allemand Tobias Mayer; les longitudes et latitudes sont ajoutées après sa mort, en 1775.","Der deutsche Astronom Tobias Mayer zog die Basiskarte in den 1850er Jahren, aber die Längen und Breiten wurden 1775, nach seinem Tod, hinzugefügt.","L'astronome allemand Tobias Mayer a dessiné la carte de base dans les années 1850, mais les longitudes et latitudes ont été ajoutées en 1775, après sa mort.","L'astronome allemand Tobias Mayer a dessiné la carte de base dans les années 1850, mais les longitudes et latitudes ont été ajoutées en 1775, après sa mort."
1792 : pollution William Murdoch invents the natural gas lamp and cities in Britain begin to light their streets using natural gas.,1792 : pollution William Murdoch invente la lampe à gaz et les villes de Grande-Bretagne commencent à éclairer leurs rues au gaz.,1792 : pollution William Murdoch invente la lampe au gaz naturel et les villes britanniques commencent à éclairer leurs rues en utilisant du gaz naturel.,1792 : la pollution William Murdoch invente la lampe à gaz naturel et les villes britanniques commencent à éclairer leurs rues à l'aide du gaz naturel.,1792 : pollution William Murdoch invente la lampe à gaz naturel et les villes en Grande-Bretagne commencent à éclairer leurs rues à l'aide de gaz naturel.
Instruments French astronomer Dominique François Jean Arago invents the polariscope.,Instruments L'astronome français Dominique François Jean Arago invente le polariscope.,Instruments L'astronome français Dominique François Jean Arago invente le polariscope.,Instruments astronome français Dominique François Jean Arago invente le polariscope.,Instruments L'astronome français Dominique François Jean Arago invente le polariscope.
Instruments Joseph Nicéphore Niépce succeeds in making the first photograph on paper.,Instruments La première photo sur papier par Joseph Nicéphore Niépce.,Instruments Joseph Nicéphore Niépce réussit à faire la première photographie sur papier.,Instruments Joseph Nicéphore Niépce réussit à faire la première photo sur papier.,Instruments Joseph Nicéphore Niépce réussit à faire la première photographie sur papier.
Instruments French inventor Joseph Nicéphore Niépce makes the first permanent photograph using a sheet of polished tin coated with bitumen.,Instruments Le Français Joseph Nicéphore Niépce réussit la première photographie permanente au moyen d'une feuille d'étain enduite de bitume.,Instruments L'inventeur français Joseph Nicéphore Niépce fait la première photographie permanente à l'aide d'une feuille de tin poli enrobée de bitume.,Instruments L'inventeur français Joseph Nicéphore Niépce fait la première photo permanente à l'aide d'une feuille d'étain poli revêtue de bitumen.,Instruments L'inventeur français Joseph Nicéphore Niépce réalise la première photographie permanente à l'aide d'une feuille d'étain polissée revêtue de bitume.
Instruments British astronomer John Frederick William Herschel invents the photometer.,Instruments L'astronome britannique John Frederick William Herschel invente le photomètre.,Instruments L'astronome britannique John Frederick William Herschel invente le photomètre.,Instruments L'astronome britannique John Frederick William Herschel invente le photomètre.,Instruments L'astronome britannique John Frederick William Herschel invente le photomètre.
Instruments French optician Noël Marie Paymal Lerebours photographs the Sun for the first time.,Instruments Le Soleil est photographié pour la première fois par l'opticien français Noël Marie Paymal Lerebours.,Instruments Opéniste français Nol Marie Paymal Lerebours photographie le Soleil pour la première fois.,Instruments Opticien Français Noël Marie Paymal Lerebours photographie le Soleil pour la première fois.,Instruments L'opticien français Noël Marie Paymal Lerebours photographie le Soleil pour la première fois.
Evolution of images American physician and chemist John William Draper takes this daguerreotype of the Moon.,ÉvolutionImages Le médecin et chimiste américain John William Draper prend ce daguerréotype de la Lune.,Évolution des images Le médecin et le chimiste américain John William Draper prend ce daguerreotype de la Lune.,Évolution des images Le médecin américain et le chimiste John William Draper prend ce daguerreotype de la Lune.,Évolution des images Le médecin et chimiste américain John William Draper prend ce daguerréotype de la Lune.
"Observatories Dr. Charles Smallwood establishes an observatory at Saint-Martin on Quebec's Île Jésus (now ""Laval"").","Observatoires L'observatoire de l'Île Jésus du Dr. Charles Smallwood à Saint-Martin (aujourd'hui Laval), au Québec.",Observatoires Le Dr Charles Smallwood établit un observatoire à Saint-Martin sur l'Île Jésus (aujourd'hui « Laval »).,Les observatoires Le Dr Charles Smallwood établit un observatoire à Saint-Martin sur l'Île-Jesus du Québec (actuellement « Laval »).,Observatoires Le Dr Charles Smallwood crée un observatoire à Saint-Martin sur l'île Jésus du Québec (aujourd'hui « Laval »).
"Observatories Dr. James Toldervy of Fredericton, New Brunswick, creates an observatory in his garden near the Saint John River.",Observatoires L'observatoire du Dr. James Toldervy à Fredericton au Nouveau-Brunswick.,Observatoires Le Dr James Toldervy de Fredericton (Nouveau-Brunswick) crée un observatoire dans son jardin près de la rivière Saint John.,"Les observatoires Le Dr James Toldervy de Fredericton, au Nouveau-Brunswick, crée un observatoire dans son jardin près de la rivière Saint-Jean.","Observatoires Le Dr James Toldervy de Fredericton, au Nouveau-Brunswick, crée un observatoire dans son jardin près de la rivière Saint John."
Evolution of images Lord Rosse makes this drawing of the Orion nebula.,ÉvolutionImages Lord Rosse effectue ce croquis de la nébuleuse d'Orion.,L'évolution des images Lord Rosse fait ce dessin du nébula d'Orion.,Évolution des images Lord Rosse fait ce dessin de la nébuleuse d'Orion.,Évolution des images Lord Rosse fait ce dessin de la nébula Orion.
Observatories The Quebec City Observatory is established on the Plains of Abraham.,"Observatoires Création de l'observatoire de Québec, sur les Plaines d'Abraham.",Observatoires L'Observatoire de Québec est établi sur les plaines d'Abraham.,Observatoires L'Observatoire de la ville de Québec est établi sur les plaines d'Abraham.,Observatoires L'Observatoire de la ville de Québec est établi sur les plaines d'Abraham.
Evolution of images American photographer John Adams Whipple takes this daguerreotype of the Moon.,ÉvolutionImages Le photographe américain John Adams Whipple prend ce daguerréotype de la Lune.,Evolution des images Le photographe américain John Adams Whipple prend ce daguerreotype de la Lune.,Évolution des images Le photographe américain John Adams Whipple prend ce daguerreotype de la Lune.,Évolution des images Le photographe américain John Adams Whipple prend ce daguerréotype de la Lune.
Astronomes William Frederick King is born.,Astronomes Naissance de William Frederick King.,Astronomes William Frederick King est né.,Les astronomes William Frederick King est né.,Astronomes William Frederick King est né.
"Observatories The Kingston Observatory is established in London, Ontario.",Observatoires Création de l'observatoire de Kingston en Ontario.,Observatoires L'Observatoire de Kingston est établi à Londres (Ontario).,"Observatoires L'Observatoire Kingston est établi à Londres, en Ontario.",Observatoires L'Observatoire de Kingston est établi à Londres (Ontario).
Instruments German chemist Robert Wilhelm Bunsen and German physicist Gustav Robert Kirchhoff invent the first spectroscope.,Instruments Invention du spectroscope par le chimiste allemand Robert Wilhelm Bunsen et le physicien allemand Gustav Robert Kirchhoff.,Instrumente chemiste Robert Wilhelm Bunsen und physiker Gustav Robert Kirchhoff erfinden das erste spektroskop.,Instruments Chimiste allemand Robert Wilhelm Bunsen et physicien allemand Gustav Robert Kirchhoff inventent le premier spectroscopie.,Instruments Le chimiste allemand Robert Wilhelm Bunsen et le physique allemand Gustav Robert Kirchhoff inventent le premier spectroscope.
Instruments Scottish physicist James Clerk Maxwell creates the first colour photograph using filters made of coloured glass plates.,Instruments Le physicien écossais James Clerk Maxwell réalise la première photographie en couleurs au moyen de filtres de verre colorés.,Instruments Le physicien écossais James Clerk Maxwell crée la première photographie en couleur à l'aide de filtres en verre coloré.,Instruments Le physicien écossais James Clerk Maxwell crée la première photographie en couleur à l'aide de filtres en plaques de verre colorées.,Instruments Le physicien écossais James Clerk Maxwell crée la première photographie en couleur à l'aide de filtres en verre coloré.
"Observatories The King College Observatory is established in Windsor, Nova Scotia.","Observatoires Création de l'observatoire du Collège King, à Windsor en Nouvelle-Écosse.",Observatoires L'Observatoire King College est établi à Windsor (Nouvelle-Écosse).,"Observatoires L'Observatoire du Collège du Roi est établi à Windsor, en Nouvelle-Écosse.",Observatoires L'Observatoire du King College est établi à Windsor (Nouvelle-Écosse).
"Observatories The McGill University Observatory is established in Montreal, Quebec.","Observatoires Création de l'observatoire de l'Université McGill, à Montréal au Québec.",Observatoires L'Observatoire de l'Université McGill est établi à Montréal (Québec).,Observatoires L'Observatoire de l'Université McGill est établi à Montréal (Québec).,Observatoires L'Observatoire de l'Université McGill est établi à Montréal (Québec).
Astronomes John Stanley Plaskett is born.,Astronomes Naissance de John Stanley Plaskett.,Astronomes John Stanley Plaskett est né.,Les astronomes John Stanley Plaskett est né.,Astronomes John Stanley Plaskett est né.
Astronomes Clarence Augustus Chant is born.,Astronomes Naissance de Clarence Augustus Chant.,Astronomes Clarence Augustus Chant est né.,Les astronomes Clarence Augustus Chant est né.,Astronomes Clarence Augustus Chant est né.
Evolution of images British astronomer and chemist Warren De La Rue takes this photograph of the Moon.,ÉvolutionImages L'astronome et chimiste britannique Warren De La Rue prend cette photographie de la Lune.,Évolution des images L'astronome et le chimiste britannique Warren De La Rue prend cette photo de la Lune.,Évolution d'images astronome britannique et chimiste Warren De La Rue prend cette photo de la Lune.,Évolution des images L'astronome et chimiste britannique Warren De La Rue prend cette photo de la Lune.
De La Rue becomes the first person to print photos.,De La Rue est le premier à parvenir à imprimer des photographies.,De La Rue devient la première personne à imprimer des photos.,De La Rue devient la première personne à imprimer des photos.,De La Rue devient la première personne à imprimer des photos.
"Observatories The Charles Blackman Observatory is established in Montreal, Quebec.","Observatoires Création de l'observatoire de Charles Blackman, à Montréal au Québec.",Observatoires L'Observatoire Charles Blackman est établi à Montréal (Québec).,Observatoires L'Observatoire Charles Blackman est établi à Montréal (Québec).,Observatoires L'Observatoire Charles Blackman est établi à Montréal (Québec).
"Instruments American inventor George Eastman (who would go on to found the Eastman-Kodak company in 1892) builds a machine for coating photographic plates with emulsion, which allows for the mass production of photographs.",Instruments L'inventeur américain George Eastman (fondateur de la cie Eastman-Kodak) construit une machine enduisant les plaques photos d'émulsion et permettant de les produire en grand nombre.,"Instruments L'inventeur américain George Eastman (qui fonderait ensuite la société Eastman-Kodak en 1892) fabrique une machine pour revêtement des plaques photographiques avec émulsion, ce qui permet la production de photographies en masse.","Instruments L'inventeur américain George Eastman (qui allait trouver la société Eastman-Kodak en 1892) construit une machine pour revêtir des plaques photographiques avec emulsion, ce qui permet la production massive de photographies.","Instruments L'inventeur américain George Eastman (qui fonderait l'entreprise Eastman-Kodak en 1892) construit une machine pour le revêtement des plaques photographiques à l'emulsion, qui permet la production en masse de photographies."
"Observatories The Woodstock College Observatory is established in Hamilton, Ontario.","Observatoires Création de l'observatoire de Woodstock, à Hamilton en Ontario.",Observatoires L'Observatoire du Woodstock College est établi à Hamilton (Ontario).,Observatoires L'Observatoire du Collège Woodstock est établi à Hamilton (Ontario).,Observatoires L'observatoire du Woodstock College est établi à Hamilton (Ontario).
